epoch,loss,mrcnn_bbox_loss,mrcnn_class_loss,mrcnn_mask_loss,rpn_bbox_loss,rpn_class_loss,val_loss,val_mrcnn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_mask_loss,val_rpn_bbox_loss,val_rpn_class_loss
0,2.3452676711259066,0.8030128633534467,0.43382243977652657,0.5488893483523969,0.5301909075567016,0.029350844878030732,1.1910359835624695,0.4341501557826996,0.1982864820957184,0.28032778710126877,0.25940992280840874,0.018860337992664428
1,1.1651917695999146,0.37983211074714307,0.19524500469021774,0.2862973762331186,0.2891921391365705,0.01462384290169683,1.04188813328743,0.32462670624256135,0.1610412698984146,0.26628113761544225,0.2699708368629217,0.019966867021284997
2,1.0914584022981149,0.32783414188910415,0.15741843019646626,0.29195867216697446,0.29145478312340045,0.022791079346832162,0.8577073442935944,0.24887106388807298,0.14554380994290114,0.23088022723793983,0.21625563412904739,0.01615529798902571
3,0.9412805090347925,0.27837771149697127,0.1638583878952044,0.26988498783773845,0.21658832617793922,0.012569789642131783,0.8094769960641861,0.20703120425343513,0.16791013788431883,0.2213275720179081,0.1959228789061308,0.017283899057656527
4,0.9788205143478181,0.2333570486969418,0.22417725829614532,0.2459010007204833,0.2591974877372936,0.01618639947480039,0.7964318662881851,0.22931644722819328,0.14771976128220557,0.22287772104144096,0.18358752444386484,0.012929101649206132
5,0.9020595594688698,0.2520398835617083,0.16071984392625313,0.2777225157177007,0.19850177069505057,0.013074233672038341,0.8432370954751969,0.2263296701014042,0.1414831252582371,0.23549072191119194,0.222564717233181,0.017367547589819878
6,0.8390273893321002,0.23509089655622287,0.1472031783691987,0.23247166060739094,0.20537329730750234,0.01888705576506995,0.8088352108001708,0.2363774858415127,0.12119895422365516,0.2044070366024971,0.2313200405240059,0.015530387288890779
7,0.7900608623469317,0.2250169850885868,0.11821452122078174,0.23345239336291948,0.2025828837175612,0.010792756134092255,0.7436679494380951,0.1801970459520817,0.1287913778796792,0.238929712921381,0.1815618571639061,0.01418664395227097
8,0.7345774256520801,0.17606372800138262,0.13693034347077762,0.21929634403851297,0.18731940548039144,0.014966297833274843,0.6990621972084046,0.1820047751814127,0.1329821869917214,0.21382489174604416,0.1601301484555006,0.01011888546636328
9,0.7441865023639467,0.18712125670302798,0.12600796210959,0.2255423001393124,0.19335111499660546,0.012162549444905447,0.759787785410881,0.1980717708915472,0.1388599780574441,0.22311879962682724,0.18304139204323291,0.016694527259096502
